price,location,furnishingLevel,bedrooms,bathrooms,parking
255000,Setapak,Partly Furnished,3,2,1
255000,Setapak,Partly Furnished,3,2,1
255000,Setapak,Unfurnished,3,1,1
255000,Setapak,Unfurnished,3,1,1
255000,Setapak,Unfurnished,3,2,1
255000,Setapak,Unfurnished,3,2,1
255000,Setapak,Unfurnished,3,2,1
255000,Setapak,Unfurnished,3,2,1
258000,Cheras,Partly Furnished,3,2,1
258000,Cheras,Partly Furnished,3,2,1
258000,Jalan Kuching,Unfurnished,3,2,1
258000,Jalan Kuching,Unfurnished,3,2,1
258000,Setapak,Partly Furnished,3,2,1
258000,Setapak,Partly Furnished,3,2,1
259000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
259000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
260000,Ampang,Unfurnished,2,2,1
260000,Ampang,Unfurnished,2,2,1
260000,Bandar Tasik Selatan,Unfurnished,3,2,1
260000,Bandar Tasik Selatan,Unfurnished,3,2,1
260000,Bukit Jalil,Unfurnished,2,1,1
260000,Bukit Jalil,Unfurnished,2,1,1
260000,Bukit Jalil,Partly Furnished,3,2,1
260000,Bukit Jalil,Partly Furnished,3,2,1
260000,Cheras,Partly Furnished,3,2,1
260000,Cheras,Partly Furnished,3,2,1
260000,Desa Petaling,Partly Furnished,3,2,1
260000,Desa Petaling,Partly Furnished,3,2,1
260000,Desa Petaling,Partly Furnished,3,2,1
260000,Desa Petaling,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Partly Furnished,2,1,1
260000,Setapak,Unknown,2,1,1
260000,Setapak,Unknown,2,1,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Partly Furnished,3,2,1
260000,Setapak,Unfurnished,3,2,1
260000,Setapak,Unfurnished,3,2,1
265000,Bandar Tasik Selatan,Partly Furnished,3,2,1
265000,Bandar Tasik Selatan,Partly Furnished,3,2,1
265000,Jalan Kuching,Partly Furnished,3,2,1
265000,Jalan Kuching,Partly Furnished,3,2,1
265000,Segambut,Fully Furnished,3,2,1
265000,Segambut,Fully Furnished,3,2,1
265000,Setapak,Unfurnished,2,1,1
265000,Setapak,Unfurnished,2,1,1
265000,Setapak,Fully Furnished,3,2,1
265000,Setapak,Fully Furnished,3,2,1
265000,Setapak,Partly Furnished,3,2,1
